"current.0","current.1","current.2","current.3","current.4","current.5","current.6"
0.000000000000000000e+00,7.886280000000000179e+00,4.731768000000002417e+00,5.678121600000000768e+01,5.678121600000000768e+01,-3.154512000000000427e+00,-8.517182400000000086e+01
1.419530400000000014e+01,1.261804799999999993e+01,1.419530399999999837e+01,4.731767999999999574e+01,1.734981599999998991e+01,-2.208158399999999943e+01,-6.782200799999999674e+01
2.365883999999999787e+01,-3.154511999999999983e+00,-3.154511999999999539e+00,4.416316799999999887e+01,1.261804800000000171e+01,1.577256000000001990e+00,-9.305810400000000016e+01
-3.154511999999999983e+00,2.523609599999999986e+01,9.463535999999999504e+00,6.466749599999999987e+01,3.469963199999999404e+01,-3.154512000000003979e+00,-7.886279999999999291e+01
-1.104079199999999972e+01,3.154511999999999539e+00,2.681335199999999830e+01,4.574042400000000441e+01,3.785414400000000512e+01,-1.734981600000000057e+01,-9.621261599999999703e+01
7.886279999999999291e+00,2.050432799999999745e+01,-1.577256000000000036e+01,7.097652000000000783e+01,6.624475200000000541e+01,9.463535999999999504e+00,-8.359456800000000953e+01
2.208158399999999943e+01,2.365883999999999787e+01,1.734981600000000412e+01,7.255377599999999916e+01,6.782200799999999674e+01,-1.419530400000000014e+01,-9.778987200000000257e+01
3.154511999999999539e+00,1.104079199999999972e+01,1.577256000000000213e+01,5.204944800000000527e+01,4.258591200000000754e+01,-1.104079200000000149e+01,-8.832633599999999774e+01
-3.154511999999999983e+00,1.734981599999999702e+01,-1.261804799999999815e+01,4.574042399999999020e+01,4.416316799999999887e+01,-1.419530400000000014e+01,-8.990359200000000328e+01
1.892707199999999901e+01,3.154511999999999539e+00,1.104079199999999972e+01,3.469963199999999404e+01,6.151298400000000299e+01,4.731768000000000640e+00,-9.936712800000000811e+01
1.577255999999999858e+01,1.577256000000000213e+00,2.839060800000000384e+01,5.678121600000000058e+01,5.835847200000000612e+01,-1.419530399999999659e+01,-1.040988959999999963e+02
1.892707199999999901e+01,-1.577256000000000213e+00,4.731768000000002417e+00,4.731768000000000285e+01,4.731767999999998864e+01,-7.886280000000000179e+00,-1.025216400000000050e+02
-1.419530400000000014e+01,2.208158399999999943e+01,6.309023999999999965e+00,6.624475200000000541e+01,5.678121600000000058e+01,-7.886279999999999291e+00,-9.621261599999999703e+01
1.577256000000000036e+01,9.463535999999999504e+00,3.154512000000000427e+00,4.416316799999999887e+01,5.362670400000000370e+01,-1.577255999999998437e+00,-1.088306640000000129e+02
-3.154511999999999983e+00,-4.731767999999998864e+00,2.839060800000000384e+01,6.939926400000000228e+01,4.258591200000000754e+01,-1.577256000000000036e+01,-1.151396880000000067e+02
7.886279999999999291e+00,1.734981599999999702e+01,7.886279999999999291e+00,5.993572799999999745e+01,4.416316799999998466e+01,-3.785414400000000512e+01,-9.936712800000000811e+01
1.577256000000000213e+00,-1.577255999999999991e+00,1.261804799999999815e+01,5.993572799999999745e+01,6.624475200000000541e+01,-1.734981600000000057e+01,-1.056761520000000019e+02
-1.577256000000000213e+00,3.154511999999999716e+01,1.892707199999999901e+01,3.943139999999999645e+01,5.362670400000000370e+01,-1.892707199999999901e+01,-1.009443840000000137e+02
-7.886280000000000179e+00,6.309023999999999965e+00,2.050432800000000100e+01,8.517182400000001508e+01,5.362670400000000370e+01,-2.050432799999999745e+01,-9.778987200000000257e+01
-3.154511999999999539e+00,3.154511999999999539e+00,4.731767999999998864e+00,4.731767999999999574e+01,5.362670400000000370e+01,-1.261804799999999815e+01,-8.201731200000000399e+01
-1.577255999999999769e+00,-3.154511999999999983e+00,2.365883999999999787e+01,4.258591199999999333e+01,5.204944799999999816e+01,-6.309023999999997301e+00,-8.517182400000000086e+01
1.261804799999999993e+01,2.050432800000000100e+01,-7.886280000000001067e+00,5.520396000000000925e+01,6.151298399999999589e+01,3.154511999999996874e+00,-1.009443840000000137e+02
1.577255999999999325e+00,1.734981599999999702e+01,1.577255999999998437e+00,4.100865599999999489e+01,7.255377599999999916e+01,-7.886279999999999291e+00,-9.148084799999999461e+01
-1.577255999999999991e+00,-1.577256000000000213e+00,2.208158400000000299e+01,3.943140000000000356e+01,4.258591199999999333e+01,-1.734981600000000412e+01,-8.832633599999999774e+01
-3.154511999999999983e+00,-7.886280000000000179e+00,1.261804800000000171e+01,7.255377599999999916e+01,3.627688799999999247e+01,-1.419530400000000014e+01,-9.936712800000000811e+01
3.154511999999999983e+00,2.208158399999999943e+01,7.886279999999999291e+00,6.466749599999999987e+01,2.839060799999999318e+01,3.154512000000000427e+00,-9.305810400000001437e+01
-3.154511999999999983e+00,6.309023999999999965e+00,3.154512000000000427e+00,6.151298399999999589e+01,5.204944799999999105e+01,-1.577256000000001990e+00,-1.088306640000000129e+02
4.731768000000000640e+00,4.731767999999998864e+00,-1.577256000000001990e+00,6.466749599999999987e+01,2.050432800000000810e+01,-6.309024000000000854e+00,-9.936712800000000811e+01
-1.577256000000000213e+00,7.886280000000000179e+00,-6.309024000000000854e+00,5.835847199999999901e+01,2.681335199999999475e+01,0.000000000000000000e+00,-9.778987200000000257e+01
1.419530400000000014e+01,1.261804799999999993e+01,1.577255999999999858e+01,7.413103200000000470e+01,5.520396000000000925e+01,6.309024000000000854e+00,-9.463536000000000570e+01
1.577255999999999991e+00,1.104079199999999972e+01,-6.309023999999999965e+00,5.047219200000000683e+01,2.681335199999999475e+01,-9.463535999999997728e+00,-8.359456800000000953e+01
3.154511999999999539e+00,-4.731767999999999752e+00,2.050432800000000455e+01,7.413103200000000470e+01,3.154511999999999716e+01,-7.886279999999999291e+00,-9.305810400000000016e+01
0.000000000000000000e+00,1.734981600000000057e+01,0.000000000000000000e+00,2.839060800000000029e+01,3.627688799999999958e+01,-7.886280000000002843e+00,-8.201731200000000399e+01
-9.463535999999999504e+00,1.261804799999999993e+01,1.577256000000000213e+01,4.889493600000000129e+01,6.309024000000000854e+01,-6.309024000000000854e+00,-1.072534080000000074e+02
3.154511999999999983e+00,1.261804799999999993e+01,2.050432800000000100e+01,6.466749599999999987e+01,4.100865600000000200e+01,3.154512000000000072e+01,-9.778987200000000257e+01
-4.731767999999999752e+00,-3.154511999999999983e+00,1.104079199999999616e+01,5.204944799999999816e+01,2.996786399999999873e+01,1.419530400000000192e+01,-1.009443839999999994e+02
-1.419530399999999837e+01,1.104079199999999972e+01,6.309023999999997301e+00,5.520396000000000925e+01,2.839060800000000029e+01,4.731767999999998864e+00,-7.886280000000000712e+01
7.886279999999999291e+00,7.886279999999999291e+00,3.312237600000000270e+01,6.151298399999999589e+01,5.047219200000000683e+01,-4.731768000000002417e+00,-1.151396880000000067e+02
1.261804799999999993e+01,4.731767999999999752e+00,-7.886280000000002843e+00,5.520395999999999503e+01,4.100865600000000200e+01,1.419530400000000014e+01,-9.936712800000000811e+01
-1.577256000000000213e+01,6.309023999999999965e+00,-1.261804800000000171e+01,4.100865599999999489e+01,4.258591199999999333e+01,1.577256000000001990e+00,-1.056761520000000019e+02
-3.154512000000000427e+00,-1.104079199999999972e+01,3.154512000000000427e+00,5.678121600000000768e+01,5.835847200000000612e+01,-1.419530399999999837e+01,-9.778987200000000257e+01
3.154511999999999539e+00,2.050432800000000100e+01,2.523609599999999631e+01,6.151298400000000299e+01,4.889493600000000129e+01,-1.892707199999999546e+01,-8.044005599999999845e+01
1.577256000000000036e+01,-6.309023999999999077e+00,2.996786399999999873e+01,7.255377599999999916e+01,4.416316799999999887e+01,-3.154512000000000427e+00,-1.246032240000000115e+02
1.104079199999999972e+01,1.419530399999999837e+01,2.208158399999999943e+01,5.678121599999999347e+01,5.835847199999999191e+01,0.000000000000000000e+00,-8.517182399999998665e+01
6.309023999999999965e+00,1.734981600000000057e+01,6.309024000000000854e+00,5.835847200000000612e+01,4.100865600000000200e+01,-1.892707200000000256e+01,-9.778987200000000257e+01
9.463535999999999504e+00,-1.419530399999999837e+01,0.000000000000000000e+00,6.782200799999999674e+01,3.627688799999999958e+01,-1.104079200000000149e+01,-8.517182400000000086e+01
7.886279999999999291e+00,0.000000000000000000e+00,9.463536000000001280e+00,6.309024000000000854e+01,3.469963200000000825e+01,-3.154512000000000427e+00,-9.778987200000000257e+01
-1.419530400000000014e+01,2.365883999999999787e+01,3.154512000000000427e+00,5.204944800000000527e+01,5.520395999999999503e+01,-1.577256000000001990e+00,-9.148084800000000882e+01
4.731767999999999752e+00,2.523609599999999986e+01,1.892707199999999546e+01,6.151298399999999589e+01,3.312237600000000981e+01,-1.419530399999999837e+01,-1.056761520000000019e+02
3.154511999999999539e+00,1.892707199999999901e+01,3.154512000000000427e+00,7.570828799999999603e+01,5.678121600000001479e+01,7.886280000000002843e+00,-7.570828799999999603e+01
-4.731767999999999752e+00,1.419530400000000014e+01,1.261804800000000171e+01,7.097651999999999362e+01,5.047219200000000683e+01,-3.469963200000000114e+01,-9.305810400000001437e+01
-6.309023999999999965e+00,9.463535999999999504e+00,1.419530400000000370e+01,7.413103200000000470e+01,5.520396000000000214e+01,-4.731768000000002417e+00,-9.778987200000000257e+01
-6.309023999999999077e+00,-1.577255999999999991e+00,2.681335200000000185e+01,7.570828799999999603e+01,5.993572800000001166e+01,3.154512000000000427e+00,-7.728554400000000157e+01
1.419530400000000014e+01,2.681335199999999830e+01,1.104079199999999616e+01,4.889493600000000129e+01,5.993572799999999745e+01,-1.734981600000000412e+01,-1.088306640000000129e+02
1.419530400000000014e+01,1.577256000000000036e+01,-6.309023999999997301e+00,6.466749599999999987e+01,2.050432799999999389e+01,0.000000000000000000e+00,-7.886279999999999291e+01
-1.104079199999999972e+01,1.261804799999999993e+01,1.104079200000000149e+01,6.466749600000001408e+01,6.151298399999998878e+01,6.309024000000000854e+00,-1.088306640000000129e+02
1.577256000000000213e+00,2.208158399999999943e+01,1.419530400000000014e+01,7.886280000000000712e+01,2.681335200000000185e+01,-1.104079199999999972e+01,-7.886279999999999291e+01
3.154511999999999539e+00,7.886279999999999291e+00,2.523609599999999986e+01,7.255377599999999916e+01,2.050432800000000810e+01,9.463535999999997728e+00,-1.072534080000000074e+02
-1.261804799999999993e+01,-7.886280000000000179e+00,-1.577255999999999858e+01,6.309023999999999432e+01,3.785414399999999091e+01,1.104079199999999972e+01,-7.728554400000000157e+01
-1.577255999999999991e+00,1.734981599999999702e+01,-7.886280000000002843e+00,4.889493600000000129e+01,3.469963200000000114e+01,-1.419530400000000014e+01,-9.936712800000000811e+01
9.463535999999999504e+00,6.309023999999999965e+00,-4.731767999999998864e+00,7.255377599999999916e+01,4.574042400000000441e+01,-1.261804800000000526e+01,-1.104079199999999901e+02
-4.731767999999999752e+00,2.523609599999999986e+01,2.208158399999999943e+01,7.097652000000000783e+01,4.889493600000000129e+01,4.731767999999998864e+00,-9.148084800000000882e+01
3.154511999999999983e+00,1.734981599999999702e+01,1.261804800000000171e+01,7.097651999999999362e+01,6.309024000000000854e+01,2.208158400000000299e+01,-9.148084800000000882e+01
4.731767999999999752e+00,1.734981600000000057e+01,1.577255999999999858e+01,6.151298400000000299e+01,3.943139999999999645e+01,4.731768000000000640e+00,-8.517182399999998665e+01
2.050432800000000100e+01,-7.886279999999999291e+00,4.731767999999998864e+00,5.520396000000000214e+01,5.204944799999999105e+01,1.104079200000000327e+01,-9.148084800000000882e+01
-2.050432800000000100e+01,7.886279999999999291e+00,2.839060800000000029e+01,5.520396000000000214e+01,3.469963200000000825e+01,1.734981600000000412e+01,-9.305810400000000016e+01
-4.731767999999999752e+00,1.892707199999999901e+01,2.523609599999999986e+01,6.151298400000000299e+01,5.678121600000000058e+01,-1.261804799999999993e+01,-1.230259680000000060e+02
-4.731767999999999752e+00,1.104079199999999972e+01,6.309024000000000854e+00,6.624475200000000541e+01,4.731768000000000995e+01,1.104079200000000327e+01,-7.728554400000000157e+01
6.309024000000000854e+00,2.365883999999999787e+01,2.523609599999999631e+01,6.309023999999999432e+01,6.466749599999999987e+01,6.309024000000000854e+00,-1.056761520000000019e+02
-7.886279999999999291e+00,2.839060799999999674e+01,-1.577256000000000213e+01,6.782200799999999674e+01,5.678121599999998637e+01,0.000000000000000000e+00,-1.009443840000000137e+02
0.000000000000000000e+00,-1.261804799999999993e+01,7.886279999999999291e+00,5.993572800000001166e+01,7.886280000000000712e+01,-6.309024000000000854e+00,-8.359456799999999532e+01
-3.154511999999999539e+00,1.419530400000000014e+01,-3.154512000000000427e+00,5.678121600000000058e+01,5.204944799999999105e+01,-1.577256000000001990e+00,-7.886280000000000712e+01
-4.731767999999999752e+00,1.104079199999999972e+01,1.734981600000000412e+01,4.416316800000000597e+01,4.100865600000000200e+01,1.577255999999998437e+00,-8.990359200000000328e+01
2.208158399999999943e+01,-1.104079199999999972e+01,1.734981599999999702e+01,7.886280000000000712e+01,5.362670400000000370e+01,-3.154512000000000427e+00,-8.990359200000000328e+01
3.154511999999999539e+00,7.886279999999999291e+00,9.463536000000001280e+00,5.362670400000000370e+01,5.204944799999999816e+01,-7.886280000000002843e+00,-9.463536000000000570e+01
1.734981599999999702e+01,2.050432800000000100e+01,2.365883999999999787e+01,5.204944799999999816e+01,5.678121600000000058e+01,3.154512000000000427e+00,-8.517182400000000086e+01
-1.577256000000000213e+00,1.261804799999999993e+01,4.731767999999998864e+00,6.466749599999999987e+01,7.413103199999999049e+01,3.154512000000003979e+00,-8.674908000000000641e+01
-7.886279999999999291e+00,-4.731767999999998864e+00,-4.731767999999998864e+00,3.785414399999999802e+01,4.258591200000000043e+01,-6.309023999999997301e+00,-1.135624320000000012e+02
1.577255999999999858e+01,1.104079199999999972e+01,1.734981600000000412e+01,5.204944799999999816e+01,6.624475200000000541e+01,0.000000000000000000e+00,-9.305810400000001437e+01
7.886280000000000179e+00,9.463535999999999504e+00,4.731767999999998864e+00,3.785414399999999091e+01,6.782200800000001095e+01,1.577256000000001990e+00,-7.255377599999999916e+01
0.000000000000000000e+00,1.104079199999999972e+01,9.463535999999997728e+00,5.047219200000000683e+01,4.574042399999999020e+01,-7.886279999999999291e+00,-8.674907999999999220e+01
6.309023999999999077e+00,2.365883999999999787e+01,1.734981600000000057e+01,3.943139999999999645e+01,6.939926400000000228e+01,-7.886279999999999291e+00,-9.463535999999999149e+01
3.154511999999999539e+00,2.050432800000000100e+01,1.419530400000000014e+01,4.416316799999999887e+01,3.785414400000000512e+01,-2.681335199999999830e+01,-7.728554400000000157e+01
-6.309023999999999965e+00,1.261804799999999815e+01,2.208158399999999943e+01,5.047219199999999262e+01,5.047219199999999262e+01,-1.261804800000000171e+01,-8.044005599999999845e+01
7.886279999999999291e+00,3.154511999999999983e+00,7.886279999999999291e+00,5.362670400000000370e+01,5.678121600000000058e+01,-1.577256000000000213e+01,-9.936712799999999390e+01
3.154511999999999539e+00,1.104079199999999972e+01,3.627688800000000668e+01,5.362670400000000370e+01,5.362670399999998949e+01,-1.892707200000000256e+01,-8.832633599999999774e+01
-4.731767999999999752e+00,2.050432800000000100e+01,-4.731767999999998864e+00,6.466749599999999987e+01,2.839060800000000384e+01,-1.734981599999999702e+01,-1.040988959999999963e+02
-1.577255999999999991e+00,1.261804799999999993e+01,-9.463536000000001280e+00,6.466749600000001408e+01,2.681335200000000896e+01,-6.309023999999997301e+00,-1.072534080000000074e+02
9.463535999999999504e+00,2.996786399999999873e+01,2.050432799999999745e+01,4.731767999999999574e+01,5.520395999999999503e+01,-9.463535999999999504e+00,-1.104079199999999901e+02
3.154511999999999539e+00,6.309023999999999077e+00,9.463536000000001280e+00,3.943139999999999645e+01,4.731767999999999574e+01,9.463536000000001280e+00,-1.056761520000000019e+02
3.469963199999999404e+01,1.261804799999999815e+01,9.463536000000001280e+00,7.097652000000000783e+01,4.258591199999999333e+01,1.577256000000001990e+00,-8.674907999999999220e+01
